onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	repeat	n/a	1	12	old	6
7.7	2.5	repeat	n/a	1	12	new	6
12.2	2.5	repeat	n/a	1	4	new	4
16.7	2.5	foil	n/a	1	0	new	9
21.2	2.5	foil	n/a	1	0	new	9
25.7	2.5	lure	low	1	12	new	9
30.2	2.5	repeat	n/a	2	4	old	6
34.7	2.5	foil	n/a	1	0	new	9
39.2	2.5	foil	n/a	1	0	new	10
43.7	2.5	foil	n/a	1	0	new	8
48.2	2.5	repeat	n/a	1	4	old	8
52.7	2.5	foil	n/a	1	0	new	7
57.2	2.5	repeat	n/a	2	12	old	6
61.7	2.5	repeat	n/a	2	12	old	8
66.2	2.5	repeat	n/a	2	4	old	8
70.7	2.5	lure	high	1	4	new	9
75.2	2.5	foil	n/a	1	0	new	8
79.7	2.5	lure	low	2	12	similar	7
84.2	2.5	foil	n/a	1	0	new	6
88.7	2.5	lure	high	2	4	old	9
93.2	2.5	repeat	n/a	1	12	new	9
97.7	2.5	foil	n/a	1	0	new	6
102.2	2.5	foil	n/a	1	0	new	9
106.7	2.5	foil	n/a	1	0	new	8
111.2	2.5	repeat	n/a	1	12	new	9
115.7	2.5	lure	high	1	12	new	6
120.2	2.5	lure	high	1	4	new	8
124.7	2.5	foil	n/a	1	0	new	9
129.2	2.5	repeat	n/a	1	12	new	7
133.7	2.5	repeat	n/a	1	40	new	7
138.2	2.5	lure	high	2	4	old	8
142.7	2.5	repeat	n/a	1	40	new	9
147.2	2.5	repeat	n/a	2	12	old	9
151.7	2.5	foil	n/a	1	0	new	8
156.2	2.5	foil	n/a	1	0	new	8
160.7	2.5	foil	n/a	1	0	new	8
165.2	2.5	repeat	n/a	2	12	old	7
169.7	2.5	lure	high	2	12	old	11
174.2	2.5	lure	low	1	40	new	10
178.7	2.5	repeat	n/a	1	40	new	5
183.2	2.5	repeat	n/a	2	12	old	4
187.7	2.5	foil	n/a	1	0	new	10
192.2	2.5	lure	high	1	4	new	8
196.7	2.5	lure	high	1	40	new	6
201.2	2.5	repeat	n/a	1	4	new	9
205.7	2.5	foil	n/a	1	0	new	7
210.2	2.5	lure	high	2	4	old	8
214.7	2.5	foil	n/a	1	0	new	10
219.2	2.5	repeat	n/a	2	4	old	8
223.7	2.5	foil	n/a	1	0	new	9
228.2	2.5	foil	n/a	1	0	new	9
232.7	2.5	foil	n/a	1	0	new	9
237.2	2.5	lure	low	1	40	new	8
241.7	2.5	foil	n/a	1	0	new	6
246.2	2.5	lure	high	1	12	new	13
250.7	2.5	repeat	n/a	1	12	new	8
255.2	2.5	lure	low	1	12	new	6
259.7	2.5	repeat	n/a	1	40	new	10
264.2	2.5	lure	low	1	4	new	9
268.7	2.5	repeat	n/a	1	40	new	8
273.2	2.5	foil	n/a	1	0	new	7
277.7	2.5	foil	n/a	1	0	new	8
282.2	2.5	lure	low	2	4	old	8
286.7	2.5	lure	low	1	40	new	7
291.2	2.5	lure	high	1	40	new	6
295.7	2.5	foil	n/a	1	0	new	7
300.2	2.5	lure	high	2	12	similar	8
304.7	2.5	repeat	n/a	2	12	old	9
309.2	2.5	lure	low	2	12	new	8
313.7	2.5	repeat	n/a	2	40	old	7
318.2	2.5	foil	n/a	1	0	new	7
322.7	2.5	repeat	n/a	2	40	old	8
327.2	2.5	lure	high	1	40	new	7
331.7	2.5	repeat	n/a	1	40	new	7
336.2	2.5	foil	n/a	1	0	new	6
340.7	2.5	foil	n/a	1	0	new	7
345.2	2.5	lure	low	1	4	new	6
349.7	2.5	foil	n/a	1	0	new	6
354.2	2.5	lure	low	2	40	new	6
358.7	2.5	repeat	n/a	2	40	old	6
363.2	2.5	lure	low	2	4	similar	11
367.7	2.5	repeat	n/a	1	4	new	7
372.2	2.5	repeat	n/a	1	4	new	9
376.7	2.5	lure	high	2	40	similar	8
381.2	2.5	lure	low	1	12	new	7
385.7	2.5	repeat	n/a	2	4	old	9
390.2	2.5	repeat	n/a	2	4	old	6
394.7	2.5	lure	low	1	4	new	8
399.2	2.5	foil	n/a	1	0	new	9
403.7	2.5	foil	n/a	1	0	new	9
408.2	2.5	repeat	n/a	1	4	new	7
412.7	2.5	lure	low	2	4	similar	6
417.2	2.5	lure	low	2	40	similar	11
421.7	2.5	foil	n/a	1	0	new	7
426.2	2.5	repeat	n/a	2	4	old	7
430.7	2.5	foil	n/a	1	0	new	7
435.2	2.5	lure	low	2	12	similar	7
439.7	2.5	repeat	n/a	2	40	old	9
444.2	2.5	foil	n/a	1	0	new	9
448.7	2.5	repeat	n/a	2	40	old	8
453.2	2.5	foil	n/a	1	0	new	7
457.7	2.5	foil	n/a	1	0	similar	7
462.2	2.5	lure	high	1	12	new	7
466.7	2.5	lure	low	2	40	similar	7
471.2	2.5	lure	high	2	40	old	7
475.7	2.5	foil	n/a	1	0	new	7
480.2	2.5	foil	n/a	1	0	new	7
484.7	2.5	foil	n/a	1	0	new	11
489.2	2.5	foil	n/a	1	0	new	8
493.7	2.5	foil	n/a	1	0	new	7
498.2	2.5	foil	n/a	1	0	new	7
502.7	2.5	foil	n/a	1	0	new	7
507.2	2.5	lure	high	2	40	old	6
511.7	2.5	repeat	n/a	2	40	old	10
516.2	2.5	lure	high	2	12	old	6
520.7	2.5	foil	n/a	1	0	new	10
