onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	lure	low	1	40	new	5
7.7	2.5	repeat	n/a	1	4	new	6
12.2	2.5	lure	high	1	40	new	7
16.7	2.5	repeat	n/a	1	12	new	5
21.2	2.5	repeat	n/a	1	12	new	6
25.7	2.5	repeat	n/a	2	4	similar	6
30.2	2.5	lure	low	1	12	new	5
34.7	2.5	foil	n/a	1	0	new	6
39.2	2.5	repeat	n/a	1	4	new	6
43.7	2.5	foil	n/a	1	0	new	6
48.2	2.5	foil	n/a	1	0	new	1
52.7	2.5	foil	n/a	1	0	new	4
57.2	2.5	repeat	n/a	2	4	old	1
61.7	2.5	foil	n/a	1	0	new	2
66.2	2.5	foil	n/a	1	0	new	2
70.7	2.5	repeat	n/a	2	12	new	1
75.2	2.5	repeat	n/a	2	12	old	7
79.7	2.5	repeat	n/a	1	40	new	9
84.2	2.5	lure	low	2	12	similar	9
88.7	2.5	foil	n/a	1	0	new	9
93.2	2.5	repeat	n/a	1	12	new	7
97.7	2.5	repeat	n/a	1	4	new	9
102.2	2.5	lure	low	1	40	new	6
106.7	2.5	foil	n/a	1	0	new	8
111.2	2.5	repeat	n/a	1	40	new	6
115.7	2.5	repeat	n/a	2	4	old	6
120.2	2.5	foil	n/a	1	0	new	6
124.7	2.5	foil	n/a	1	0	new	8
129.2	2.5	lure	low	1	40	new	12
133.7	2.5	foil	n/a	1	0	new	7
138.2	2.5	foil	n/a	1	0	new	6
142.7	2.5	foil	n/a	1	0	new	6
147.2	2.5	repeat	n/a	2	12	similar	8
151.7	2.5	foil	n/a	1	0	new	6
156.2	2.5	foil	n/a	1	0	new	2
160.7	2.5	foil	n/a	1	0	new	6
165.2	2.5	lure	high	1	40	new	7
169.7	2.5	repeat	n/a	1	40	new	5
174.2	2.5	foil	n/a	1	0	new	4
178.7	2.5	lure	high	1	4	new	4
183.2	2.5	lure	low	2	40	similar	4
187.7	2.5	foil	n/a	1	0	new	5
192.2	2.5	lure	high	2	40	old	8
196.7	2.5	lure	high	2	4	similar	3
201.2	2.5	repeat	n/a	1	12	similar	6
205.7	2.5	foil	n/a	1	0	new	8
210.2	2.5	foil	n/a	1	0	new	7
214.7	2.5	foil	n/a	1	0	new	5
219.2	2.5	lure	high	1	4	new	6
223.7	2.5	foil	n/a	1	0	new	8
228.2	2.5	lure	low	1	4	new	5
232.7	2.5	lure	high	1	12	new	8
237.2	2.5	lure	high	2	4	similar	6
241.7	2.5	lure	high	1	12	similar	8
246.2	2.5	lure	low	2	4	similar	2
250.7	2.5	repeat	n/a	1	40	new	2
255.2	2.5	repeat	n/a	2	12	old	5
259.7	2.5	repeat	n/a	2	40	old	6
264.2	2.5	repeat	n/a	1	40	new	6
268.7	2.5	foil	n/a	1	0	new	4
273.2	2.5	repeat	n/a	1	40	new	5
277.7	2.5	foil	n/a	1	0	new	8
282.2	2.5	lure	low	2	40	new	4
286.7	2.5	lure	high	2	12	similar	8
291.2	2.5	repeat	n/a	2	40	old	6
295.7	2.5	lure	high	2	12	old	6
300.2	2.5	lure	low	1	12	new	7
304.7	2.5	foil	n/a	1	0	new	5
309.2	2.5	lure	low	2	40	similar	4
313.7	2.5	lure	low	1	12	new	4
318.2	2.5	repeat	n/a	1	12	new	3
322.7	2.5	foil	n/a	1	0	new	3
327.2	2.5	foil	n/a	1	0	new	2
331.7	2.5	repeat	n/a	1	12	new	8
336.2	2.5	lure	high	1	40	new	1
340.7	2.5	foil	n/a	1	0	new	7
345.2	2.5	lure	high	2	40	old	7
349.7	2.5	repeat	n/a	2	40	new	7
354.2	2.5	lure	low	2	12	new	4
358.7	2.5	foil	n/a	1	0	new	7
363.2	2.5	foil	n/a	1	0	new	1
367.7	2.5	lure	low	2	12	similar	3
372.2	2.5	repeat	n/a	2	12	old	4
376.7	2.5	foil	n/a	1	0	new	6
381.2	2.5	foil	n/a	1	0	new	5
385.7	2.5	repeat	n/a	2	12	old	6
390.2	2.5	repeat	n/a	1	4	new	8
394.7	2.5	lure	low	1	4	old	4
399.2	2.5	foil	n/a	1	0	new	6
403.7	2.5	foil	n/a	1	0	new	6
408.2	2.5	repeat	n/a	2	4	old	6
412.7	2.5	lure	low	2	4	similar	5
417.2	2.5	foil	n/a	1	0	new	5
421.7	2.5	foil	n/a	1	0	new	4
426.2	2.5	foil	n/a	1	0	new	5
430.7	2.5	repeat	n/a	2	40	new	5
435.2	2.5	foil	n/a	1	0	new	7
439.7	2.5	foil	n/a	1	0	new	6
444.2	2.5	repeat	n/a	2	40	old	8
448.7	2.5	repeat	n/a	1	4	new	5
453.2	2.5	repeat	n/a	2	40	old	3
457.7	2.5	lure	high	1	12	new	5
462.2	2.5	repeat	n/a	1	4	new	5
466.7	2.5	repeat	n/a	2	4	old	7
471.2	2.5	foil	n/a	1	0	new	8
475.7	2.5	foil	n/a	1	0	new	6
480.2	2.5	repeat	n/a	2	4	old	6
484.7	2.5	foil	n/a	1	0	old	7
489.2	2.5	lure	low	1	4	new	7
493.7	2.5	foil	n/a	1	0	new	5
498.2	2.5	foil	n/a	1	0	new	6
502.7	2.5	lure	high	1	4	new	4
507.2	2.5	lure	low	2	4	new	4
511.7	2.5	lure	high	2	12	new	4
516.2	2.5	lure	high	2	40	old	6
520.7	2.5	lure	high	2	4	new	6
